Nombre;Comarca;Capital;Direccion;Telefono;Email;Web;Titulo;Texto;OtrosDatos;ComoLlegar;QueVer;MasInformacion;InfoNautica;VisitaVirtual;Geolocalizacion;Coordenadas;Visualizador;Slide;SlideTitulo;SlideUrl;Kml
Caravia;Oriente de Asturias;Prado;El Hórreo. 33344 Prado;985 853 088;turismo@aytocaravia.com;http://www.aytocaravia.com/;La Sierra del Sueve, playas con vistas y espectaculares olas, surf, hogueras que miran al mar, espato flúor, casas de indianos, palacios, paisajes de ensueño y gastronomía de ?casa', entre otros, componen un retrato de Caravia;Se mire hacia donde se mire, en Caravia se descubren tesoros. Hacia el norte el Cantábrico, que baña la costa en este concejo en forma de paradisiacas playas como el Arenal de Morís o La Espasa, que además de un paisaje impresionante de verde, monte y playa, tienen una arena fina y agradable y unas magníficas olas para la práctica del surf, tanto es así que Arenal de Morís es ya un clásico para la celebración de campeonatos de esta especialidad y la Espasa tiene la ola perfecta para las buenas escuelas de este deporte. Si miramos al sur, la Sierra del Sueve, que convierte esta zona de Caravia en un Parque Natural donde la biodiversidad tanto de flora como de fauna es un gran atractivo para turistas e investigadores. Y si miramos al suelo, Caravia atesora en su subsuelo una de las reservas más importantes del mundo de fluorita o espato flúor cuyo aspecto cristalino es de gran belleza y es codiciado por los coleccionistas más exigentes?y desde la abundante arquitectura indiana y palaciega de este territorio es francamente fácil mirar a un cielo a menudo muy azul que contrasta con el verde de sus prados y montañas, y una vez al año teñido por el fuego de la hoguera de San Juan en la playa de La Espasa.;Población: 520 habitantes Superficie: 13,36 km2;Por la Autovía A-8 y por la carretera N-632;Playas de la Espasa y Arenal de Morís. Arquitectura Indiana. Ruta de la Forquita y Cerracín. La Sierra del Sueve.;;;https://viajevirtualasturias.i-cast.es/caravia.html;;43.464765,-5.1856183;;/documents/11022/31892/arenal-de-moris.jpg/e3a77141-302f-4330-9083-e53683352353?t=1572271497882,/documents/11022/31892/M_Caravia1.jpg/c74b12df-9e72-4957-becc-f4ba90fce5f7?t=1447765010352,/documents/11022/31892/M_Caravia4.jpg/1b5af7e9-d93d-4b29-8e26-9d61fa8f3aaf?t=1447765011207,/documents/11022/31892/M_Caravia3/ea29a86f-a798-440b-a0ec-d474b2d60838?t=1447765129264;Playa Arenal de Morís en Caravia,Playa de la Beciella en la costa de Caravia,Camino de Santiago a su paso por Caravia,Pareja y niño paseando Arenal de Morís en Caravia;,,,;/documents/11022/31892/Caravia.kml/b28d9799-1593-4831-82bc-87d13083360f
Proaza;Camín Real de la Mesa;Proaza;Plaza la Abadía. 33114 Proaza;985 761 001;info@proaza.es;http://www.proaza.es;Vestigios medievales como Banduxu ? uno de los pocos pueblos medievales conservados en Asturias ? y la Torre de Proaza, Palacio de los González Tuñón en Proaza, el río Trubia, la Senda del Oso?Historia, naturaleza y buena gastronomía?Así es Proaza.;Su ubicación estratégica hizo que en la Edad Media fuese un punto clave en la comunicación de Asturias con la Meseta. De aquella etapa épica conserva Proaza abundantes y llamativos vestigios como la Torre medieval de Proaza. Asimismo, testimonio de aquella pujanza es uno de los pocos pueblos medievales conservados en Asturias, es el caso de Banduxu, que además ostentó el rango de ser la primera capital de Proaza. Proaza es un terreno ideal para el senderismo y para todo tipo de actividades en la naturaleza. El río Trubia y los verdes y frondosos paisajes que la componen hacen que sea la meca de senderistas y cicloturistas que recorren la Senda del Oso, uno de los itinerarios verdes y ecológicos más destacados de España y que transcurre por el corazón de Proaza, en cuya capital también está la Casa del Oso. Otro referente de este paisaje es el Desfiladero de Peñas Juntas.;Población: 795 habitantes. Superficie: 76,79 km2 Mercado semanal: Lunes;Por la carretera AS-228;Torre medieval de Proaza. El pueblo de Banduxu. La Senda del Oso. Desfiladero de Peñas Juntas.;;;https://viajevirtualasturias.i-cast.es/proaza.html;;43.2553638,-6.0134303;;/documents/11022/34354/proaza.jpg/b492698e-4c2c-4c14-94cd-84a5f0722c21?t=1556180759182,/documents/11022/34354/bandujo.jpg/9c8e60fe-3736-46b3-bd25-4f41d67a5a41?t=1556180758144,/documents/11022/34354/torre-de-proaza.jpg/035ff62c-f5b8-4dc2-bb90-e798139f5ed8?t=1556180759523,/documents/11022/34354/central-hidorel%C3%A9ctrica-de-proaza.jpg/703de9d5-8284-417c-9229-9103f0ff75b4?t=1556180758763;Proaza,Bandujo,Torre de Proaza,Central Hidroeléctrica de Proaza;,,,;/documents/11022/34354/Proaza.kml/1e98a955-c4ec-4a6f-961c-02bba82d0894
Parres;Oriente de Asturias;Arriondas/Les Arriondes;Plaza Venancio Pando. 33540 Arriondas/Les Arriondes;985 841 712;turismo@ayto-parres.es;http://www.ayto-parres.es/turismo;Sella y Sueve, río y montaña, balcón a los Picos de Europa desde el Fitu o desde el Pienzu, salida de la fiesta de Las Piraguas, pionero en el turismo activo, cuna de piragüistas y pescadores, y referente de una gastronomía excelente tanto tradicional como innovadora. Así es Parres.;"Río y montaña, Sella y Sueve. Ahí está Parres. En medio del oriente de Asturias, como cabecera de comarca, y como balcón a los Picos de Europa, en un espectáculo único de sinfonía de montañas que se puede vivir, entre otros, desde el Mirador del Fitu o desde el Picu Pienzu, el más alto de la Sierra del Sueve, esa mole montañosa que se 'asoma' a la orilla misma del Cantábrico. Parres, de tradición agrícola, industrial y artesanal ? sobretodo artesanía de la madera -, ha afianzado su atractivo turístico en las últimas décadas gracias a su protagonismo en el Descenso Internacional del Sella, la única Fiesta de Interés Turístico Internacional que tiene Asturias. La mítica salida de las Piraguas desde el Puente ""Emilio Llamedo"" de Arriondas/Les Arriondes es una experiencia absolutamente recomendable? Cuna de excepcionales piragüistas y pescadores ? el salmón y la trucha son los pobladores más codiciados del Sella - es también pionera en las actividades de turismo activo en el descenso de ríos, y es territorio apto para el ocio en la naturaleza. Otro de sus atractivos más poderosos es la gastronomía, tradicional en unos casos ? son famosos por ejemplo sus postres vinculados a la castaña -, e innovadora en otros. También en este campo, Parres es pionero: es el primer concejo de Asturias que tiene dos restaurantes con Estrella Michelín, que corresponden a los afamados chefs Nacho Manzano (dos estrellas), y José Antonio Campoviejo (una estrella).";Población: 5.804 habitantes. Superficie: 126,08 km2 Mercado semanal: Sábados;Por las carreteras N-634, N-625 y AS-260;La Fiesta de las Piraguas, que no hay fiesta más alegre, ni esencia más asturiana. Sierra del Sueve. La Fiesta de las Piraguas. Turismo activo en el Sella. Festival de la castaña.;;;https://viajevirtualasturias.i-cast.es/parres.html;;43.3902686,-5.1851546;;/documents/11022/33984/Arriondas.jpg/8390310e-14a4-4d26-9848-c524f7bcb7db?t=1567163780741,/documents/11022/33984/Aballe.jpg/00c7b993-7b77-42c4-90bf-c5fe3a17278d?t=1567163779337,/documents/11022/33984/Mirador-del-Fitu.jpg/a51c5b29-d18c-4c8a-8d82-e7ca4b9ea980?t=1567163781393,/documents/11022/33984/Pico-Pienzu.jpg/713eb37e-23ba-4970-a9af-0068a296e51d?t=1567163781929;Plaza del Cañón en Arriondas,Pueblo de Aballe, Parres,Mirador del Fitu, Parres,Ruta por el Pico Pienzo en Parres;,,,;/documents/11022/33984/Parres.kml/586c96af-509b-474f-816d-5d3d242e1a4a
Grandas de Salime;Parque Histórico del Navia;Grandas de Salime;El Salvador, 6. 33730 Grandas de Salime;985 627 021;oficinadeturismo@grandasdesalime.es;http://www.grandasdesalime.es;El Camino de Santiago y la cultura castreña son su gran sustrato, y su Museo Etnográfico es el referente de la cultura tradicional asturiana en el occidente. Sierras y montañas, un histórico embalse, arqueología, naturaleza y sueños de peregrinos, Grandas de Salime es la última etapa de la Ruta Jacobea en Asturias;Grandas de Salime lleva en su ?mapa genético' el Camino de Santiago, no en vano una de sus señas de identidad más notables es el hecho de ser la última etapa asturiana del Camino Primitivo, antes de que el peregrino se adentre en tierras gallegas. Tal vez por esa simultánea impronta ?nómada' y sedentaria Grandas atesora como pocos territorios su más ancestral origen, que los viajeros inquietos pueden indagar en el Chao Samartín o en su afamado Museo Etnográfico - ordenado compendio de toda la cultura y usos tradicionales de la comarca occidental y de toda Asturias -. El Museo Etnográfico, por su impresionante inventario de piezas - en constante crecimiento -, es una riquísima muestra del pasado, escenificado de una manera viva y muy realista, donde nos encontramos con una herrería, una escuela rural, el dentista, la enfermería, la casa del sastre, la clásica tienda-bar, etc., en definitiva, un conjunto de elementos bien cohesionados y puestos en valor que hacen de este equipamiento una referencia en España. Grandas de Salime tiene, además de su cultura jacobea y castrense, un panorámico y grandioso embalse donde contiene al río Navia, que constituye otro de sus emblemas más señeros con poblado incluido. Iglesias y casonas, la Colegiata de San Salvador que marca la Ruta Jacobea, rutas naturales, arqueológicas, caza y pesca, los Paisajes Protegidos de las Sierras de Carondio y Valledor, las antiguas minas de oro que esquilmaron los romanos?y tantas ilusiones de miles de peregrinos. Grandas de Salime es un catalizador de sueños y caminos.;Población: 830 habitantes. Superficie: 29,45 km2 Mercado semanal: Segundos domingos de cada mes;Por las carreteras AS-12, AS-14 y AS-28;Museo Etnográfico. Embalse de Grandas de Salime. Chao Samartín. Sierras de Carondio y Valledor.;Piscina municipal:  de martes a domingo de 12:00 h a 14:00 h y de 16:00 h a 20:00 h.;;https://viajevirtualasturias.i-cast.es/grandasdesalime.html;;43.2184249,-6.8757969;;/documents/11022/33011/M_GrandasdeSalime.jpg/ea28ba43-eb76-4743-ae93-cca47b72e955?t=1448275524805,/documents/11022/33011/GrandasSalime2.jpg/84da3682-25c3-47de-ba87-500cf5598294?t=1390501544764,/documents/11022/33011/GrandasSalime3.jpg?t=1389212835022,/documents/11022/33011/GrandasSalime4.jpg?t=1389212836143,;Grandas de Salime,Castro Chao Samartín,Embalse de Grandas,Museo Etnográfico de Grandas de Salime,;,,,,;/documents/11022/33011/Grandas_de_Salime.kml/15bc6b0b-25ea-4dd0-8922-fa1f434cb904
Vegadeo;Oscos-Eo;A Veiga/Vegadeo;Plaza del Ayuntamiento. 33770 A Veiga/Vegadeo;985 634 022 / 985 476 045;ayuntamiento@vegadeo.net;http://www.vegadeo.es;Agua y ribera, mazos y palacios, puentes y ríos, huertas y caserías, ruta jacobea de la costa. Así es Vegadeo, fronterizo, con paseos fluviales, apto para el senderismo, con una capital dinámica y comercial.;Entre puentes y palacios, ríos y mazos, huertas y caserías, Camino de Santiago e influjo del río Eo, así transcurre la vida en Vegadeo, concejo limítrofe con Galicia, que ha sido y es paso de los peregrinos que hacen el camino de Santiago de la costa. El influjo jacobeo deja su huella en este territorio y como muestra está la Cruz de Paramios, en Monticelo, el típico crucero a pie de camino que servía a los peregrinos para hacer una parada y rezar. Como consecuencia de los distintos caudales que desembocan en el Eo, Vegadeo es un terreno donde existe una arraigada cultura del agua y los ingenios hidráulicos, por ello una de las visitas más recomendables es la del mazo de Meredo o Suarón, que además cuenta con área recreativa. Vegadeo cuenta asimismo con un importante patrimonio arquitectónico civil donde destacan algunos conjuntos palaciegos y casas nobles, como la Casa de los Lastra en Vixande, y tal es así que existe toda una Ruta de los Palacios, al igual que hay otra llamada Senda de los doce puentes, que ofrece una caminata por los distintos puentes y lugares circundantes entorno a los ríos Monjardín y Suarón. El hecho de ser fronterizo convirtió a este territorio en zona de estraperlistas, y esa realidad es la que se rememora en la Ruta del Estraperlo, sin olvidar su condición de ribera fluvial, lo que se percibe con nitidez en la Senda de la Ría del Eo. La capital, A Veiga/Vegadeo, es una animada localidad con abundante actividad comercial y ferial.;Población: 4.131 habitantes Superficie: 82,75 km2 Mercado semanal: Sábados;Por las carreteras N-640, AS- 11, AS- 21 y AS-22;Mazo de Meredo o de Suarón. La Cruz de Paramios en Monticelo. Senda de los 12 puentes. Ruta de los Palacios.;;;https://viajevirtualasturias.i-cast.es/vegadeo.html;;43.4646918,-7.0485041;;/documents/11022/35572/Vegadeo1.jpg?t=1389213756819,/documents/11022/35572/Vegadeo2.jpg?t=1389213759177,/documents/11022/35572/Vegadeo3.jpg?t=1389213763765,/documents/11022/35572/Vegadeo4.jpg?t=1389213768828,;Vista de Vegadeo,Mazo de Meredo,Paseo del río Suarón,Ruta de las Minas,;,,,,;/documents/11022/35572/Vegadeo.kml/e0f8f4a6-aee2-4f8a-95c3-55cac670c3a0
Sariego;Comarca de la Sidra;Vega;Vega. 33518 Sariego;985 748 003;ayto@sariego.org;http://www.sariego.org/turismo;Senderos y ?caleyas', un valle rodeado de suaves montañas, abanico de verdes y cosechas, buena sidra casera, el Camino de Santiago?, y todo bajo el dominio del Cordal de La Llomba y su necrópolis tumular, y del poderoso Pico Fario?Así es Sariego, un Pueblo Ejemplar.;"Un territorio acogedor en el que siglos de historia han dejado marcada su huella. Han sido miles los peregrinos que han transitando por el mítico Camino de Santiago, pudiendo disfrutar de la hospitalidad de los ""sareganos"" en su ruta a Compostela, y maravillándose a su paso por estas tierras de los hermosos paisajes de un valle salpicado de fértiles pumaradas, pintorescos pueblos y pequeñas iglesias y capillas rurales, algunas de ellas de origen románico. Sariego - cuya capital es Vega ? se vuelca con las tradiciones, una de las más importantes la de su fiesta de ""San Pedrín"", declarada de interés turístico, en la que se puede disfrutar de la conocida misa en asturiano al abrigo de la cueva. No es casual que otras tradiciones estén muy presentes, como las esfoyazas o el ´mayado´ de sidra casera, o que exista una ruta de la toponimia por distintos pueblos y aldeas del municipio, donde unos paneles explicativos aluden al origen de los lugares y las historias que encierran. Pocos saben que en su territorio nace el río Nora - en Valvidares -, uno de los más importantes afluentes del Nalón, o pocos conocen que de las entrañas de sus tierras brotan aguas saladas que se pueden beber en la ""Fuente del Pozu Salau""?Así es Sariego, una de las joyas de la Comarca de la Sidra.";Población: 1.331 habitantes Superficie: 25,73 km2;Por la autovía A-64 y por la carretera AS-267;Iglesia Románica de Santa María de Narzana. La Ruta de la Toponimia. Capilla y cueva de San Pedrín. Ruta de senderismo de las cercanías del cielo.;http://www.lacomarcadelasidra.com;;https://viajevirtualasturias.i-cast.es/sariego.html;;43.410784,-5.557771;;/documents/11022/34732/Sariego.jpg/28cad1f1-447f-4360-b633-d55299b7476d?t=1406018022619,/documents/11022/34732/Sariego1.jpg/c1d4cab9-8e0b-48c9-881e-e4720d8a5aae?t=1389217040239,/documents/11022/34732/Sariego3.jpg/f50816b0-2564-4f74-ac5e-2cb96090082d?t=1389217058199,,/documents/11022/34732/Sariego2.jpg/f76ae58d-46e9-4ae2-a93f-60c8fea86d8c?t=1389217049820;Vista panorámica de Sariego,Valle de Sariego,Vista de Miyares, en el municipio de Sariego,Vídeo de la Comarca de la Sidra,;,,,http://youtu.be/_i_idIh5MBE,;/documents/11022/34732/Sariego.kml/bbcbe979-6270-4174-b62a-a20ca86847cb
Laviana;Valle del Nalón;La Pola Llaviana/Pola de Laviana;Centro de Interpretación Armando Palacio Valdés. 33987 Entrialgo;985 311 377 / 985 600 050 (Ayuntamiento);palaciovaldes@laviana.es;http://www.ayto-laviana.es;Debe su nombre a una antigua vía romana y su ?chalaneru' es conocido en el mundo entero. Palacio Valdés la puso en el universo de la literatura universal. El río Nalón, sus bosques y valles, sus rutas, su patrimonio, sus aldeas, sus gentes amigables y su capital son un combinado único. Así es Laviana;Laviana ostenta el honor de contar con uno de los ?himnos' populares más entonados después del Asturias Patria Querida como es el famoso ?Chalaneru', que alude además de forma explícita a aquella parte de la vida del concejo profundamente vinculada al río Nalón, que todavía hoy sigue siendo clave en la cotidianeidad de Laviana, un territorio donde la pesca fluvial o la caza son dos de las actividades deportivas y turísticas más practicadas. El Puente de la Chalana o Puente de Arco son dos referencias culturales y festivas en torno al río, y si de bosques se trata, en Laviana, la berrea de los venados es uno de los espectáculos otoñales más llamativos. En la nómina de sus muchos ilustres (Fray Ceferino, Maximiliano Arboleya, etc.), Armando Palacio Valdés se lleva la palma y el ambiente de su famosa novela ?La aldea perdida' aún hoy se recrea en los escenarios y en la atmósfera natural, utópica y romántica que se respira en muchos rincones de Laviana, y por supuesto en su casa natal en Entrialgo, hoy convertida en museo y centro de interpretación. Muchos son también los montes de Laviana, siendo el más popular Peña Mea, y entre la espectacularidad de sus valles y montañas destacan pueblos tan característicos como Villoria o El Condao. La capital, La Pola Llaviana/Pola de Laviana, ha sido testigo del alto compromiso con la historia de sus habitantes y una ruta urbana por ella nos descubre joyas como la Iglesia parroquial, magnífico ejemplo del gótico neoindustrial o el Ayuntamiento.;Población: 14.044 habitantes. Superficie: 130,99 km2 Mercados semanales: Miércoles (Barredos) y jueves (Pola de Laviana);Por la carretera AS-117;La Pola Llaviana/Pola de Laviana y su Ruta Urbana. Puente de la Chalana y Puente de Arco. Entrialgo y la casa natal de Armando Palacio Valdés, Museo y Centro de Interpretación. Los pueblos de Villoria, El Condao, L'Aldea, Fomermeya y Los Tornos.;www.valledelnalon.es;;https://viajevirtualasturias.i-cast.es/laviana.html;;43.2448002,-5.5626496;;/documents/11022/33354/M_Laviana1.jpg/b47adce0-2b05-43b6-a48a-1b636cd568df?t=1448019197377,/documents/11022/33354/Laviana2.jpg?t=1389212909973,/documents/11022/33354/M_Laviana3.jpg/04d6133e-3940-48ef-8e43-b3d73a3c9ede?t=1448019306316,/documents/11022/33354/M_Laviana2.jpg/656ddf3e-5718-47dc-a990-61d5fb0c08e6?t=1448019357345;Laviana,Vista de Pola de Laviana,Puente l'Arcu,Laviana;,,,;/documents/11022/33354/Laviana.kml/6e8703e5-0c34-4c93-86a5-7cce5129a42d
Noreña;Comarca del Nora;Noreña;Avda. Flórez Estrada, 2. 33180 Noreña;985 740 061;info@aytonorena.es;http://www.aytonorena.es;De pequeño tamaño y de gran valía, cuna de las mejores industrias cárnicas y chacineras de Asturias y de fiestas gastronómicas sin parangón vinculadas al ?gochu', animal que cuenta con un monumento en el corazón de la villa condal, capital del concejo. Así es Noreña;Es el concejo menos extenso de Asturias y uno de los de mayor renta per cápita. Así es Noreña, una tierra próspera encastrada en el corazón de Siero, muy famosa por sus industrias cárnicas y chacineras, que la hacen acreedora de una gastronomía única y de excelente calidad, vinculada especialmente a los derivados del cerdo o ?gochu' como se dice en lengua asturiana. Dicho sea de paso, que este animal es respetado e idolatrado en este concejo hasta tal punto que cuenta con su propio y gracioso monumento en el corazón de la villa condal, que es como se conoce a la capital del municipio. Las fiestas gastronómicas, que tienen como base los callos - con una de las celebraciones más típicas, que constituye el gran referente gastronómico de esta villa -, el adobu, las mollejas, la fabada o el sabadiego - embutido típico noreñense, que cuenta incluso con su propia Orden ? son uno de sus atractivos turísticos más potentes, si bien un paseo por el casco histórico de la villa nos traslada a un pasado noble de palacios y casas principales, y nos muestra hitos tan especiales como el Ayuntamiento, la Torre del Reloj, el Quiosco de la música o la capilla del Ecce-Homo, todos ellos testigos de una historia de esplendor?;Población: 5.432 habitantes. Superficie: 5,29 km2 Mercado semanal: Sábados;Por las Autovías A-64, AS-II, y por las carreteras N-634 y AS-246;La Torre del Reloj. El quiosco de la música. La capilla del Ecce-Homo. Las fiestas gastronómicas.   Visitas guiadas gratuitas (01/07 a 20/09): Torre del Reloj: 45 min. de duración (no es necesaria reserva previa) Villa de Noreña: 2 horas de duración (reserva previa en la Oficina de Turismo de Noreña) - turismo@aytonorena.es - 684 633 514;;;https://viajevirtualasturias.i-cast.es/norena.html;;43.3941514,-5.7066073;;/documents/11022/33816/Norena1.jpg?t=1389213111254,/documents/11022/33816/Norena2.jpg?t=1389213118530,/documents/11022/33816/Norena3.jpg?t=1389213124593,/documents/11022/33816/Norena4.jpg?t=1389213130388,;Vista panorámica de Noreña,Qiosco de música en Noreña,Vista de Peña Ubiña desde La Braña,Vista de Muñó desde El Carril,;,,,,;/documents/11022/33816/Norena.kml/232ed12e-9d2d-43a9-96e4-14e498e8f4e5
Avilés;Comarca Avilés;Avilés;Ruíz Gómez, 24 bajo. 33400 Avilés;985 544 325;turismo@aviles.es;http://www.avilescomarca.info;Cosmopolita, marinera, medieval, dinámica y metropolitana, así es la ciudad de Avilés y su entorno;Un concejo y una urbe comercial, cosmopolita, dinámica, metropolitana, de origen medieval y de gran tradición marinera, hablamos de Avilés. La villa y capital del municipio posee un casco histórico jalonado de palacios, jardines, fuentes, iglesias, casas porticadas, etc. que le confieren una atmósfera única. La dimensión y proporciones de su ría, y su paso por el mismo corazón de la ciudad, hacen de Avilés la única ciudad de Asturias con un potente caudal fluvial a los pies de su casco histórico, uno de los mejor conservados de todo el norte español. Tierra de descubridores como Pedro Menéndez de Avilés - conquistador de La Florida en el continente americano -, es una ciudad y un concejo abierto a la innovación y con vocación artística. Además, el Avilés contemporáneo vivió también un gran revolución industrial de la mano de la siderurgia, lo que ha marcado una ?fisonomía' posindustrial que inspiró al genio de la arquitectura Oscar Niemeyer la última de sus grandes obras internacionales, un centro cultural que lleva su nombre y que es símbolo de la renovación urbanística y sociológica que vive la zona. Aquí encontrarás las 10 mejores cosas que ver y hacer en Avilés    ;Población: 83.107 habitantes Superficie: 26,81 26,81 km2 Mercado semanal: Lunes;Por la Autovía A-8 y por la carretera N-632;Plaza del Ayuntamiento y Jardines del Palacio de Ferrera. Las 10 mejores cosas que ver y hacer en Avilés Calle Galiana. Calle de la Cámara y Mercado de Abastos. Centro Niemeyer.     Visitas guiadas al Casco Histórico de Avilés Información y reserva: Oficina de turismo, C/ Ruíz Gómez, 21 Tel. 985 544 325 - e-mail: turismo@ayto-aviles.es;http://www.ayto-aviles.es;Puerto deportivo de Avilés;;;43.5579523,-5.9246653;;/documents/11022/31321/ayuntamiento-aviles.jpg/23a9a04b-9053-4981-9686-21755bcdc674?t=1550072807123,/documents/11022/31321/Avil%C3%A9s+nocturno.jpg/30f9abdf-507f-43b4-9733-ce4823ac2ee5?t=1541162234511,/documents/11022/31321/Parque+Ferrera+en+Avil%C3%A9s.jpg/322f80b8-0a03-47ae-99d9-00e4f0dbca9c?t=1541162236151,/documents/11022/31321/ria-y-centro-niemeyer-aviles.jpg/8a0f7bdf-351f-4548-aaff-6a4318a1bfb3?t=1550072809279;Plaza del Ayuntamiento de Avilés,Avilés nocturno,Parque Ferrera en Avilés,Ría y Centro Niemeyer en Avilés;,,,;/documents/11022/31321/Aviles.kml/2b436e3c-40b8-40e4-823c-890db484e256
Boal;Parque Histórico del Navia;Boal;Ctra. AS-12, junto a la Casa de la Apicultura. 33720, El Mazo;985 620 629 / 985 620 003 / 985 620 249;casadelaapicultura@boal.es,emigracion@boal.es,info@boal.es,;http://www.boal.es;Túmulos y dólmenes, cuevas y castros, un caudaloso río y una presa, casas de indianos, apicultura y feria de la miel, un mundo lleno de contrastes. Así es Boal;El Navia y su cuenca marcan su vida y su orografía. De rica prehistoria y singular historia, Boal presenta en las cuatro estaciones del año diferentes aspectos y espectaculares paisajes como los de las Sierras de Penouta y la Bobia, tan vinculadas a la cultura tumular y dolménica, que constituye junto con castros como el de Pendia una de las señas de identidad no sólo de este concejo sino de todo el Parque Histórico del Navia. Otra de sus innegables señas de identidad es el mundo de la apicultura, que adquiere su máxima expresión con la celebración de la feria de la miel, habitualmente a finales del mes de octubre. Espectacular es también el Navia embalsado a la altura de la presa de Doiras, como lo son sus posibilidades de ocio y turismo activo en cuanto a la práctica de deportes y aventuras fluviales. Un territorio de historias y leyendas, con lugares llenos de magia como la Cova del Demo, o con villas como la capital del concejo, Boal/Bual, donde la arquitectura indiana es uno de sus grandes baluartes patrimoniales, puestos en valor a través del Centro de Interpretación de la Emigración en el pueblo de San Llouguís. Tierra de ?ferreiros' y ?claveros', el Centro de Interpretación de la Artesanía del Hierro, en Rozadas, nos muestra también estos oficios.;Población: 1.814 habitantes Superficie: 120,28 km2 Mercado semanal: Lunes;Por las carreteras AS-12 y AS-22;Castro de Pendia. Accesos al río Navia: embalse de Doiras (pantalán) y embalse de Arbón Miradores de Penouta (costa e interior) Casa de la Apicultura, C.I. de la Emigración y C.I. de la Artesanía del Hierro.   Visitas guiadas: - Consultar en la oficina de turismo Teléfono: 985 620 249 - emigracion@boal.es;http://www.destinoboal.es/ Piscina de Boal: lunes a domingo de 15:00 h a 20:00 h;;https://viajevirtualasturias.i-cast.es/boal.html;;43.4289894,-6.8196922;;/documents/11022/31545/boal.jpg/2e7c3dc6-2543-427d-875f-ce1e22bea25d?t=1572261725710,/documents/11022/31545/mirador-penouta.jpg/9c3f61a7-29d9-4939-9000-7d357cc26239?t=1572261726814,/documents/11022/31545/Serandinas_Web.jpg/819801bb-2bfc-483c-b96a-ae5e9a8a8ec9?t=1469614968411,/documents/11022/31545/Boal3.jpg/64de22bb-8741-426c-9d63-e65685bde5db?t=1446047341487;Vista panorámica de Boal,Mirador de Penouta en Boal,Serandinas,Boal;,,,;/documents/11022/31545/Boal.kml/91e54335-c5d3-4973-afed-edc7757a0e29
Ponga;Oriente de Asturias;San Xuan/San Juan de Beleño;Ctra. General. 33557 San Xuan/San Juan de Beleño;985 843 005;turismoaytoponga@yahoo.es;http://www.ponga.es;Tierras escarpadas, picos emblemáticos como el Tiatordos o el Pierzu, el bosque de Peloño, el ecomuseo de Beleño, aldeas como Viegu o Tarañes, ríos de aguas bravas, en definitiva un paraíso para el turismo activo y de naturaleza. Así es Ponga;Ponga, cuyo territorio está declarado Parque Natural y Reserva de la Biosfera, es un paraíso para el turismo activo. A las inmensas posibilidades de senderismo, en lugares tan emblemáticos desde el punto de vista de la riqueza boscosa como el tupido hayedo de Peloño, está la posibilidad de disfrutar las aguas bravas y practicar rafting o barranquismo, éste último en los cañones de Vibuli y Carangres. Ponga ofrece, por tanto, todas las versiones del agua: ríos de alta montaña, como el Ponga y el fronterizo Sella, cascadas, cañones y también aguas termales de alta calidad en el Balneario de Mestas. Para completar una piscina pública con unas vistas increíbles al Tiatordos y al cordal de Ponga. Su orografía, escarpada y abrupta, da mucho juego también para los aficionados al deporte de la bici, que pueden realizar actividades con bicicletas híbridas. Si lo que preferimos es el arte, el patrimonio y la etnografía, siempre queda la opción de visitar el Ecomuseo de Beleño dedicado a la madera y ubicado en la capital San Xuan/San Juan de Beleño, ir a las ermitas de Ventaniella o Arcenorio, al palacio de Sobrefoz, al Señoriu de Cazu o a las Aldeas de Tarañes o Viegu?y así tener una completa visión de lo que Ponga aporta al paisaje, cultura y costumbres en Asturias.;Población: 684 habitantes. Superficie: 205,98 km2;Por la carretera AS-261;Ecomuseo de Beleño. Bosque de Peloño. Balneario de Mestas. Ermita de Arcenorio.;;;https://viajevirtualasturias.i-cast.es/ponga.html;;43.1910349,-5.165448;;/documents/11022/34246/Ponga1.jpg/a547b37b-dc5f-410d-b531-b806aa5b3140?t=1460117207035,/documents/11022/34246/Ponga2.jpg/69bf73da-5fc2-4fc1-a1b1-e7f5fb31f93e?t=1460117230132,/documents/11022/34246/Ponga3.jpg/ac309ca5-9784-4db2-bdab-3eb53efebde7?t=1460117247500,/documents/11022/34246/Ponga_4.jpg/26584e2c-4427-4c34-82a7-c9a2258f9da0?t=1460117272278;Hayedo de Peloño en Ponga,Hayedo de Peloño en Ponga,Peloño en Ponga,Vía Ferrata en Puente Vidosa, Ponga;,,,;/documents/11022/34246/Ponga.kml/c895294a-1a5a-4bc0-bdad-98e635e961b3
